Catalogues Name,Catalouge links,Category,Brand 
Euro Pathik Sapphire_Brochure,https://drive.google.com/file/d/1QeZt1dM2ZFP6lx8QGe24jVt3LeI0zWFu/view?usp=sharing,Acrylic Laminates,Euro Pathik
 Vivre AcryVibe 6H Anit-Scratch Acrylic Laminates E Catalogue,https://drive.google.com/file/d/1GhiDlHpQ3N0UFMBPQyWEdwyz99Jd04R4/view?usp=sharing,Acrylic Laminates,Vivre
Mig lam E-CATALOGUE,https://drive.google.com/file/d/10y7_PBkLPoxNs5KgPuFqTokvvGEdx9Zn/view?usp=sharing,Acrylic Laminates,MigLam
MAGNUS Acrylic,https://drive.google.com/file/d/1bvEgfdl1O8jgqmN5mySZnjw5aixI3Obf/view?usp=sharing,Acrylic Laminates,Magnus
LAICA-DECOR-Acrylic,https://drive.google.com/file/d/1nvLYT7y6p57lKXCvZtV-k77WmJC5J5Ft/view?usp=sharing,Acrylic Laminates,Laica
Rang Litia Acrylic,https://drive.google.com/file/d/1WQGkd9pjXSRw9V1PqYaJCSrK822KrPJS/view?usp=sharing,Acrylic Laminates,Rang
Rang Faded 6.0 Acrlic,https://drive.google.com/file/d/1phK5z3cmPqwcD0AYId1IyEg1giwzCdq7/view?usp=sharing,Acrylic Laminates,Rang
Rang Maskara 6H Acrylic,https://drive.google.com/file/d/1qSkZO82da3rmiiEr6gboowXWkZ1LkikY/view?usp=sharing,Acrylic Laminates,Rang
ACRY-GOLD 6H Acrylic,https://drive.google.com/file/d/1El3s6m8razjdZLKTPYcBjzSKhwTM5QD0/view?usp=sharing,Acrylic Laminates,ACRYGOLD
LAICA_DECOR Acrylic ,https://drive.google.com/file/d/1nvLYT7y6p57lKXCvZtV-k77WmJC5J5Ft/view?usp=sharing,Acrylic Laminates,Laica Decor
Alimo Acrylic ,https://drive.google.com/file/d/1suaHSR6nb2MCH0YcpA-XrGcRrxvO4HTt/view?usp=sharing,Acrylic Laminates,Alimo Acrylic